sent_1	sent_2	label	case	cue	common_cue
['I', 'should', 'not', 'have', 'in-', 'truded', 'it', 'upon', 'your', 'a-', 'ttention', 'had', 'you', 'not', 'shown', 'some', 'in-', 'credulity', 'the', 'other', 'day', '.']	' had ' , ' you ' , ' shown ' , ' some ' , ' in' , ' credulity ' , ' the ' , ' other ' , ' day ' ,	entailment	c: a S clause	'not',	False
"['""', 'I', 'am', 'convinced', ',', 'sir', ',', """""", 'she', 'said', ',', '""', 'that', 'this', 'matter', 'is', 'a', 'mistake', ',', 'and', 'that', 'the', 'parcel', 'was', 'never', 'meant', 'for', 'me', 'at', 'all', '.']"	' the ' , ' parcel ' , ' was ' , ' meant ' , ' for ' , ' me ' , ' at ' , ' all ' ,	entailment	c: a S clause	'never',	False
"['""', 'I', 'am', 'convinced', ',', 'sir', ',', """""", 'she', 'said', ',', '""', 'that', 'this', 'matter', 'is', 'a', 'mistake', ',', 'and', 'that', 'the', 'parcel', 'was', 'never', 'meant', 'for', 'me', 'at', 'all', '.']"	' she ' , ' said '	entailment	c: a S clause	'never',	False
"['""', 'I', 'am', 'convinced', ',', 'sir', ',', """""", 'she', 'said', ',', '""', 'that', 'this', 'matter', 'is', 'a', 'mistake', ',', 'and', 'that', 'the', 'parcel', 'was', 'never', 'meant', 'for', 'me', 'at', 'all', '.']"	she ' , ' said '	entailment	c: a S clause	'never',	False
"['""', 'I', 'observed', 'the', 'very', 'in-', 'stant', 'that', 'I', 'entered', 'the', 'room', 'that', 'you', 'have', 'a', 'portrait', 'group', 'of', 'three', 'ladies', 'upon', 'the', 'mantelpiece', ',', 'one', 'of', 'whom', 'is', 'un-', 'doubtedly', 'yourself', ',', 'while', 'the', 'others', 'are', 'so', 'exceedingly', 'like', 'you', 'that', 'there', 'could', 'be', 'no', 'doubt', 'of', 'the', 'relationship', '.', """"""]"	' be '	entailment	c: a S clause	'no',	False
"['First', 'he', 'dropped', 'me', ',', 'then', 'he', 'quarrelled', 'with', 'Sarah', ',', 'and', 'now', 'that', 'Mary', 'has', 'stopped', 'writing', 'we', 'do', ""not"", 'know', 'how', 'things', 'are', 'going', 'with', 'them', '.', """"""]"	' we ' , ' do ' , ' know ' , ' how ' , ' things ' , ' are ' , ' going ' , ' with ' , ' them ' ,	entailment	c: a S clause	"""not"","	False
['As', 'her', 'medical', 'a-', 'dviser', ',', 'I', 'can', 'not', 'possibly', 'take', 'the', 'responsibility', 'of', 'a-', 'llowing', 'a-', 'nyone', 'to', 'see', 'her', '.']	take '	entailment	c: a S clause	'not',	False
"['""', 'As', 'a', 'medical', 'man', ',', 'you', 'are', 'a-', 'ware', ',', 'Watson', ',', 'that', 'there', 'is', 'no', 'part', 'of', 'the', 'body', 'which', 'varies', 'so', 'much', 'as', 'the', 'human', 'ear', '.']"	' there ' , ' is ' , ' part ' , ' of ' , ' the ' , ' body ' , ' which ' , ' varies ' , ' so ' , ' much ' , ' as ' , ' the ' , ' human ' , ' ear ' ,	entailment	c: a S clause	'no',	False
"['When', 'he', 'a-', 'rrives', 'he', 'will', 'be', 'met', 'by', 'the', 'obtuse', 'but', 'resolute', 'Lestrade', ',', 'and', 'I', 'have', 'no', 'doubt', 'that', 'we', 'shall', 'have', 'all', 'our', 'details', 'filled', 'in', '.', """"""]"	' I ' , ' have ' , ' doubt ' , ' that ' , ' we ' , ' shall ' , ' have ' , ' all ' , ' our ' , ' details ' , ' filled ' , ' in ' ,	entailment	c: a S clause	'no',	False
"['The', 'in-', 'vestigation', 'really', 'was', 'a', 'very', 'simple', 'one', ',', """""", 'remarked', 'Holmes', ',', '""', 'but', 'I', 'do', ""not"", 'think', 'it', 'struck', 'him', 'in', 'that', 'light', 'when', 'he', 'first', 'called', 'us', 'in', '.']"	' I ' , ' do ' , ' think ' , ' it ' , ' struck ' , ' him ' , ' in ' , ' that ' , ' light ' , ' when ' , ' he ' , ' first ' , ' called ' , ' us ' , ' in ' ,	entailment	c: a S clause	"""not"","	False
"['I', 'tell', 'you', 'I', ""'ve"", 'not', 'shut', 'an', 'eye', 'in', 'sleep', 'since', 'I', 'did', 'it', ',', 'and', 'I', 'do', ""not"", 'believe', 'I', 'ever', 'will', 'a-', 'gain', 'un-', 'til', 'I', 'get', 'past', 'all', 'waking', '.']"	' waking '	entailment	c: a S clause	'not',	False
"['But', 'when', 'little', 'Mary', 'was', 'there', 'I', 'had', 'never', 'a', 'thought', 'of', 'her', ',', 'and', 'that', 'I', 'swear', 'as', 'I', 'hope', 'for', 'God', ""'s"", 'mercy', '.']"	' when ' , ' little ' , ' Mary ' , ' was ' , ' there '	entailment	c: a S clause	'never',	False
"['""', '`', 'It', 'had', 'seemed', 'to', 'me', 'sometimes', 'that', 'she', 'liked', 'to', 'be', 'a-', 'lone', 'with', 'me', ',', 'or', 'to', 'coax', 'me', 'out', 'for', 'a', 'walk', 'with', 'her', ',', 'but', 'I', 'had', 'never', 'thought', 'a-', 'nything', 'of', 'that', '.']"	[ ' ` ` ' , ' ` ' , ' It ' , ' had ' , ' seemed ' , ' to ' , ' me ' , ' sometimes ' , ' that ' , ' she ' , ' liked ' , ' to ' , ' be ' , ' a' , ' lone ' , ' with ' , ' me ' , ' , ' , ' or ' , ' to ' , ' coax ' , ' me ' , ' out ' , ' for ' , ' a ' , ' walk ' , ' with ' , ' her ' , ' , ' , ' but ' , ' I ' , ' had ' , ' never ' , ' thought ' , ' a' , ' nything ' , ' of ' , ' that ' , ' . ' ]	entailment	c: a S clause	'never',	False
"['""', 'It', ""'s"", 'a', 'bad', 'compliment', 'to', 'me', 'that', 'you', 'ca', ""not"", 'be', 'contented', 'with', 'my', 'society', 'for', 'so', 'short', 'a', 'time', '.', """"""]"	' you ' , ' ca ' , ' be ' , ' contented ' , ' with ' , ' my ' , ' society ' , ' for ' , ' so ' , ' short ' , ' a ' , ' time ' ,	entailment	c: a S clause	"""not"","	False
"['""', 'Sarah', ',', """""", 'says', 'I', 'as', 'I', 'went', 'in', ',', '""', 'this', 'man', 'Fairbairn', 'is', 'never', 'to', 'darken', 'my', 'door', 'a-', 'gain', '.', """"""]"	' this ' , ' man ' , ' Fairbairn ' , ' is ' , ' to ' , ' darken ' , ' my ' , ' door ' , ' a' , ' gain ' ,	entailment	c: a S clause	'never',	False
"['""', '`', 'Well', ',', 'I', 'do', ""not"", 'know', 'now', 'whether', 'it', 'was', 'pure', 'devilry', 'on', 'the', 'part', 'of', 'this', 'woman', ',', 'or', 'whether', 'she', 'thought', 'that', 'she', 'could', 'turn', 'me', 'a-', 'gainst', 'my', 'wife', 'by', 'encouraging', 'her', 'to', 'misbehave', '.']"	thought '	entailment	c: a S clause	"""not"","	False
['I', 'had', 'a', 'heavy', 'oak', 'stick', 'in', 'my', 'hand', ',', 'and', 'I', 'tell', 'you', 'I', 'saw', 'red', 'from', 'the', 'first', ';', 'but', 'as', 'I', 'ran', 'I', 'got', 'cunning', ',', 'too', ',', 'and', 'hung', 'back', 'a', 'little', 'to', 'see', 'them', 'without', 'being', 'seen', '.']	' being ' , ' seen ' ,	entailment	c: a S clause	'without',	False
['There', 'was', 'a', 'good', 'crowd', 'round', 'the', 'booking-office', ',', 'so', 'I', 'got', 'quite', 'close', 'to', 'them', 'without', 'being', 'seen', '.']	' being ' , ' seen ' ,	entailment	c: a S clause	'without',	False
